site	city	subregion	region	distance_km	lat	long	easting	northing	abund	chl_mean	sst_mean	fwd_mean	wf_log	wf_km	inclinacao	rugosity	Tetr_size	Tetr_density	Brach_cover	Brach_size	Pp_ok	perna_cover	pp_cat
Almada	Ubatuba/SP	S3	south	216.85	-23.359030	-44.889340	511310.395502660	7416730.484336390	9	3.641	25.162	0.615	2.597	100.344	27.683	1.168	4.844	21.200	49.000	7.996	0	0.000	absent
Baleeiro	São Sebastião/SP	S2	south	146.96	-23.829003	-45.423654	456852.684677270	7364640.550535590	4	5.303	25.073	0.603	3.413	615.769	13.800	1.221	5.109	14.133	0.000	7.746	0	0.000	absent
Cigarras	São Sebastião/SP	S2	south	152.97	-23.728480	-45.397968	459437.552488032	7375777.286123670	4	4.541	25.453	0.815	3.317	419.557	44.000	1.410	4.279	14.667	0.000	6.494	0	0.000	absent
Éden	Guarujá/SP	S1	south	67.72	-23.986740	-46.186390	379312.823630726	7346733.524844070	29	4.568	25.402	0.859	3.900	1685.525	39.950	1.312	3.218	1.867	80.000	7.319	0	0.000	absent
Engenho	São Sebastião/SP	S1	south	115.05	-23.765550	-45.783750	420138.500664975	7371509.812729690	14	4.549	25.266	0.747	3.884	1554.614	33.150	1.233	4.615	19.733	65.000	8.073	0	0.000	absent
Enseada (Ubatuba)	Ubatuba/SP	S3	south	192.17	-23.500930	-45.084080	491415.475111520	7401023.155552900	2	2.114	25.484	0.673	2.947	237.464	71.300	1.034	4.870	3.867	0.000	8.660	0	0.000	absent
Félix	Ubatuba/SP	S3	south	207.72	-23.392290	-44.971100	502953.088354905	7413052.471204170	1	2.153	25.028	0.648	3.769	1241.134	19.500	1.461	4.129	12.467	0.300	6.727	0	0.000	absent
Geribá	Búzios/RJ	N3	north	525.20	-22.781190	-41.904040	817896.857892256	7477374.225004400	37	2.419	23.082	0.708	3.798	1316.954	19.150	1.187	4.809	21.467	5.000	8.513	0	0.000	absent
Guaecá	São Sebastião/SP	S2	south	142.80	-23.821920	-45.468730	452259.232664395	7365410.293036250	6	4.178	25.878	0.696	3.614	904.703	38.700	1.462	4.846	18.467	45.000	9.404	0	0.000	absent
Indaiá	Bertioga/SP	S1	south	93.45	-23.802035	-46.000934	398035.277659100	7367331.191885600	10	7.510	25.632	0.791	3.992	2027.912	14.350	1.076	5.406	4.400	36.000	10.474	0	0.000	absent
Iporanga	Guarujá/SP	S1	south	74.92	-23.905050	-46.147830	383162.194793010	7355811.396300280	44	4.891	25.326	0.859	4.072	2383.672	15.700	1.073	3.373	21.133	85.800	9.298	0	0.000	absent
Itaguá (Ubatuba)	Ubatuba/SP	S3	south	198.20	-23.449930	-45.044530	495451.762627341	7406670.99067172	0	3.166	25.618	0.743	3.258	441.939	56.150	1.541	3.900	12.800	0.000	NA	0	0.000	absent
Justa	Ubatuba/SP	S3	south	215.92	-23.337800	-44.910870	509111.293550965	7419082.266320660	12	6.764	24.722	0.619	3.331	450.058	36.500	1.176	4.790	18.067	75.000	8.073	0	0.000	absent
Lamberto	Ubatuba/SP	S3	south	189.75	-23.496520	-45.112240	488539.969998129	7401509.408712030	12	3.609	25.924	0.669	2.427	95.514	57.950	1.369	5.457	8.800	3.000	8.513	0	0.000	absent
Maranduba	Ubatuba/SP	S3	south	176.75	-23.551360	-45.225040	477032.249570896	7395424.684115810	7	3.456	25.270	0.800	2.851	222.273	25.650	1.271	4.224	13.600	0.200	8.309	0	0.000	absent
P. Alta	Mangaratiba/RJ	N1	north	301.50	-23.034180	-44.140750	588037.370332690	7452438.200424540	2	3.585	25.422	0.547	3.152	284.262	49.333	1.222	5.556	16.600	0.000	8.630	0	0.000	absent
P. Meio	Paraty/RJ	S3	south	232.35	-23.354180	-44.724460	528183.194385148	7417252.008840560	5	1.669	25.452	0.522	3.591	850.552	8.917	1.103	5.013	28.267	63.100	9.080	0	0.000	absent
P. Morto	Paraty/RJ	N1	north	255.84	-23.049270	-44.636780	537209.990509559	7450979.866406980	1	9.980	26.013	0.842	2.639	119.995	20.333	1.258	3.706	6.733	0.000	8.386	0	0.000	absent
Pescadores	Itanhaém/SP	S1	south	1.88	-24.194550	-46.793050	317882.296414225	7323065.647322150	6	8.049	25.222	1.000	4.120	2637.734	15.200	1.213	3.791	39.200	90.000	8.795	0	0.000	absent
Picinguaba	Ubatuba/SP	S3	south	220.74	-23.374520	-44.839240	516429.142197939	7415010.852344120	4	2.603	24.980	0.515	3.074	274.125	20.000	1.328	4.149	24.867	65.100	7.069	0	0.000	absent
Pontal da Cruz	São Sebastião/SP	S2	south	151.09	-23.773670	-45.400185	459225.659242564	7370773.569635340	8	5.024	25.011	0.839	2.794	128.623	23.800	1.333	4.663	3.533	73.000	10.458	0	0.000	absent
Prainha (Paraty)	Paraty/RJ	N1	north	245.22	-23.149550	-44.694500	531273.612706189	7439892.160378290	1	4.971	26.135	0.777	3.167	335.380	26.000	1.104	4.425	21.933	70.400	7.960	0	0.000	absent
Ranchos	Paraty/RJ	S3	south	232.67	-23.353210	-44.721590	528457.182056619	7417351.709615850	4	1.703	25.456	0.527	3.773	1250.192	20.600	1.530	3.869	16.600	2.000	NA	0	0.000	absent
Sorocotuba	Guarujá/SP	S1	south	67.88	-23.981850	-46.186700	379276.726088553	7347274.727530370	8	4.629	25.439	0.851	3.841	1489.904	33.650	1.431	4.079	35.733	80.000	9.023	0	0.000	absent
T. T. Grande	São Sebastião/SP	S2	south	138.10	-23.837310	-45.511780	447880.606889749	7363691.243555280	21	2.928	25.608	0.703	3.700	1020.739	31.400	1.225	4.048	14.800	53.600	9.075	0	0.000	absent
T. T. Pequeno	São Sebastião/SP	S2	south	136.38	-23.814510	-45.537500	445251.679062377	7366205.845568940	32	3.446	25.873	0.637	3.742	1112.203	38.400	1.244	4.183	18.533	23.100	6.372	0	0.000	absent
Taguaíba	Guarujá/SP	S1	south	75.52	-23.893460	-46.147480	383187.410650379	7357095.017074360	13	5.328	25.316	0.867	4.005	2063.976	26.050	1.211	3.259	30.600	89.100	7.562	0	0.000	absent
